Title,Description
#1(home) Navbar - composant Navbar structure de base,Creer le composant Navbar avec nav-inner position fixed fond transparent qui devient opaque au scroll
#2(home) Navbar - logo marsAI avec lien vers home,Integrer le logo texte mars + span AI en gradient cyan lien vers la section home
#3(home) Navbar - liens de navigation desktop,Creer les 7 liens nav : Le Concours Programme Films Le Jury Les Prix Contact Espace Admin avec attribut data-i18n
#4(home) Navbar - bouton CTA Soumettre un film,Bouton jaune pill Soumettre un film avec lien vers /formulaire style distinct des liens nav
#5(home) Navbar - composant LangSwitcher FR/EN,Deux boutons FR et EN separes par un slash classe active sur la langue courante appel i18n.changeLanguage()
#6(home) Navbar - lien Espace Admin avec style distinct,Lien Espace Admin avec couleur solar et style differencie des autres liens nav redirige vers /login
#7(home) Navbar - burger button mobile 3 spans animes,Bouton hamburger mobile avec 3 spans qui s'animent en croix a l'ouverture visible uniquement en mobile
#8(home) Navbar - panneau menu mobile NavPanel,Panneau overlay mobile avec tous les liens lien Espace Jury aurora lien Espace Admin solar CTA Soumettre un film
#9(home) Hero - video background autoplay muted loop,Balise video en position absolue autoplay muted loop playsinline avec poster image de fallback couvre toute la section hero
#10(home) Hero - bloc partenaires UNE CO-CREATION,Ligne avec label Une co-creation logo La Plateforme image webp separateur texte Mobile Film Festival
#11(home) Hero - badge festival pill,Badge pill vert aurora : FESTIVAL INTERNATIONAL - PREMIERE EDITION - MARSEILLE 2026 avec point anime a gauche
#12(home) Hero - titre H1 marsAI avec gradient AI,H1 avec texte mars en blanc et span AI en gradient aurora/cyan grande taille typographique display
#13(home) Hero - description Le premier festival mondial,Paragraphe en gras : Le premier festival mondial du cinema genere par intelligence artificielle avec cle i18n hero-desc
#14(home) Hero - 4 tags de caracteristiques,4 pills tags : 60s chrono 120+ pays 100% gratuit Prix Marseille chaque valeur en gras fond semi-transparent
#15(home) Hero - accroche double ligne,Texte accroche : Voici ce qu'une IA peut creer en blanc et Imaginez ce que vous allez faire en couleur aurora
#16(home) Hero - bouton primaire Soumettre un film,Bouton jaune/solar arrondi avec fleche et point lumineux anime lien vers /formulaire cle i18n hero-cta-primary
