Title,Description
#1(form) Structure composant formulaire multi-etapes,Creer le composant principal FormulaireDepot avec gestion de l etape courante (1 a 5) via useState et logique de navigation entre etapes
#2(form) Composant Stepper sidebar 4 etapes,Creer le sidebar gauche avec les 4 etapes numerotees (Profil realisateur Le film Declaration IA Confirmation) et les etats actif complete a-venir
#3(form) Icone etape active dans le stepper,Chaque etape du stepper affiche une icone differente selon son etat : cercle numerote en cours coche complete verrou a venir
#4(form) Panneau Regles essentielles sidebar,Afficher le bloc regles essentielles avec les items : Duree 60 secondes Formats MP4 MOV Taille 200Mo max Fichiers par realisateur Duree soumission
#5(form) Page intro formulaire - hero texte,Creer la page d accueil du formulaire avec le titre Votre minute change tout et les 3 cartes avantages (Film 60s Outils IA Gratuit international)
#6(form) Navbar formulaire simplifiee,Navbar minimaliste avec logo marsAI et lien Retour au site uniquement sans les liens de navigation principaux
#7(form) Layout 2 colonnes formulaire,CSS layout principal du formulaire : colonne gauche sidebar fixe colonne droite contenu scrollable avec fond sombre glassmorphism
#8(form) Responsive mobile formulaire,Adapter le layout en une seule colonne sur mobile sidebar passe en bandeau horizontal en haut de l ecran
#9(form) Composant FieldLabel avec badge requis,Composant reutilisable FieldLabel qui affiche le label du champ et un badge rouge REQUIS ou badge gris OPTIONNEL selon la prop required
#10(form) Composant ProgressBar etapes numerotees,Barre de progression en en-tete affichant les 4 cercles numerotes relies par une ligne avec l etape courante en surbrillance
#11(form) Etape 1 - champ Prenom requis,Input texte Prenom avec validation required affichage erreur si vide au submit message Prenom obligatoire
#12(form) Etape 1 - champ Nom requis,Input texte Nom avec validation required affichage erreur si vide au submit message Nom obligatoire
#13(form) Etape 1 - champ Date de naissance requis,Input date Date de naissance avec datepicker validation age minimum 18 ans message d erreur si mineur
#14(form) Etape 1 - champ Metier actuel requis,Input texte Metier actuel avec placeholder ex Realisateur independant validation required
#15(form) Etape 1 - champ Email de contact requis,Input email Email de contact avec validation format email et required message Email invalide si format incorrect
#16(form) Etape 1 - champ Telephone optionnel,Input tel Telephone avec placeholder +33 6 00 00 00 00 pas de validation required juste format optionnel
#17(form) Etape 1 - champ Mobile requis,Input tel Mobile avec validation required et format international placeholder +33 6 00 00 00 00
#18(form) Etape 1 - section Adresse Postale titre,Afficher le titre de section Adresse Postale avec separateur visuel avant les champs adresse
#19(form) Etape 1 - champ Rue et Numero requis,Input texte Rue / Numero avec validation required placeholder ex 12 rue de la Paix
#20(form) Etape 1 - champ Code Postal requis,Input texte Code Postal avec validation required et pattern numerique 5 chiffres pour la France
#21(form) Etape 1 - champ Ville requis,Input texte Ville avec validation required placeholder ex Paris
