Title,Description
#1(admin) Sidebar structure composant,Creer le composant Sidebar avec fond sombre position fixe gauche largeur 220px et sections GESTION / CONCOURS / SUIVI / FESTIVAL / SITE / COMPTE
#2(admin) Sidebar logo marsAI en haut,Afficher le logo marsAI et le label PANNEAU D'ADMINISTRATION en haut de la sidebar
#3(admin) Sidebar profil admin connecte,Afficher avatar initiales AD + nom Admin marsAI + badge role ADMINISTRATEUR sous le logo
#4(admin) Sidebar lien Utilisateurs avec badge,Creer le lien Utilisateurs avec icone et badge numerique affichant le nombre de membres actifs
#5(admin) Sidebar lien Assignation films avec badge,Creer le lien Assignation films avec badge affichant le total de films (500)
#6(admin) Sidebar lien Phases et Dates,Creer le lien Phases et Dates avec icone calendrier dans section CONCOURS
#7(admin) Sidebar lien Selection et Votes avec doubles badges,Creer le lien Selection et Votes avec deux badges colores cote a cote (10 et 5)
#8(admin) Sidebar lien Awards et Sponsors,Creer le lien Awards et Sponsors avec icone trophee dans section FESTIVAL
#9(admin) Sidebar lien Administration site,Creer le lien Administration site avec icone globe dans section SITE
#10(admin) Sidebar lien Deconnexion,Creer le lien Deconnexion avec icone cadenas en rouge dans section COMPTE
#11(admin) Sidebar bouton toggle collapse,Ajouter le bouton fleche laterale pour replier ou ouvrir la sidebar sur le bord droit
#12(admin) Sidebar lien actif surbrillance,Appliquer le style fond bleu sur le lien actif dans la sidebar
#13(admin) Header page titre et sous-titre,Creer le header de chaque page admin avec le titre principal a gauche et le sous-titre descriptif en gris
#14(admin) Header badge role Admin,Afficher un badge avec icone bouclier et texte Admin en haut a droite du header
#15(admin) Page Utilisateurs stats 4 cartes,Creer la rangee de 4 stat cards : Jurys / Moderateurs / Comptes desactives / Comptes crees avec valeur et label
#16(admin) Stat card couleur accent Jurys,Appliquer la couleur cyan-vert pour la valeur de la stat card Jurys membres actifs
#17(admin) Stat card couleur accent Moderateurs,Appliquer la couleur cyan pour la valeur de la stat card Moderateurs comptes actifs
#18(admin) Stat card couleur rouge Comptes desactives,Appliquer la couleur rouge pour la valeur de la stat card Comptes desactives acces revoque
#19(admin) Stat card couleur blanche Comptes crees,Afficher la valeur en blanc pour la stat card Comptes crees invitations envoyees
#20(admin) Section participation des jures titre et legende,Creer le titre Participation des jures avec la legende de couleurs superieure a 80 / 50 / inferieure a 50 pourcent
#21(admin) Cards participation jures avec avatar circulaire,Creer une card par jure avec avatar en cercle et barre de progression circulaire coloree selon seuil
