Title,Description
#1(jury) Sidebar structure interface jury,Creer le composant Sidebar jury avec fond sombre position fixe gauche et sections EVALUATION / SELECTION / COMPTE
#2(jury) Sidebar logo marsAI et label interface,Afficher le logo marsAI et le label INTERFACE JURY avec le nom du festival marsAI 2026 en haut
#3(jury) Sidebar profil jure connecte,Afficher l'avatar initiales + nom du jure + role (ex: Presidente du Jury) sous le logo
#4(jury) Sidebar lien Films assignes avec badge,Creer le lien Films assignes avec badge affichant le nombre de films restant a evaluer
#5(jury) Sidebar lien Evalues avec badge,Creer le lien Evalues avec badge affichant le nombre de films deja evalues
#6(jury) Sidebar lien A discuter avec badge,Creer le lien A discuter avec badge affichant le nombre de films marques a discuter
#7(jury) Sidebar lien Deliberation avec badge,Creer le lien Deliberation dans la section SELECTION avec badge ratio votes utilises (4/5)
#8(jury) Sidebar lien Se deconnecter,Creer le lien Se deconnecter avec icone cadenas en rouge dans la section COMPTE
#9(jury) Sidebar lien actif surbrillance,Appliquer le style fond colore sur le lien actif dans la sidebar jury
#10(jury) Header onglets A evaluer Evalues Tous,Creer les 3 onglets de navigation en haut avec badges numeriques : A evaluer / Evalues / Tous
#11(jury) Header badge YouTube acces video,Afficher le badge YouTube en haut a droite de la zone player si la video est hebergee sur YouTube
#12(jury) Liste films colonne gauche,Creer la colonne scrollable gauche avec la liste des films assignes au jure
#13(jury) Item film thumbnail titre realisateur pays,Creer chaque item film avec thumbnail miniature + titre tronque + prenom nom realisateur + pays
#14(jury) Badge film statut VALIDE,Afficher le badge VALIDE en vert sur les items de films evalues positivement
#15(jury) Badge film statut A REVOIR,Afficher le badge A REVOIR en orange sur les items films marques pour revision
#16(jury) Badge film statut UNDEFINED,Afficher le badge UNDEFINED en gris sur les items films non encore evalues
#17(jury) Item film selectionne surbrillance,Appliquer le style fond bleu sur l'item film actuellement ouvert dans le player
#18(jury) Player video central plein largeur,Creer le player video principal en zone centrale avec fond noir plein ecran partiel
#19(jury) Player controles lecture play pause,Afficher les controles du player : bouton play/pause central et barre de controles en bas
#20(jury) Player barre progression et temps,Afficher la barre de progression video avec le temps ecoule et la duree totale (00:25 / 1:00)
#21(jury) Player boutons volume et plein ecran,Ajouter les boutons volume et plein ecran dans la barre de controles du player
#22(jury) Player boutons sous-titres CC et FR,Afficher les boutons de selection de langue sous-titres CC et FR dans les controles player
#23(jury) Player sous-titres texte sur video,Afficher les sous-titres en texte blanc centre en bas de la zone video pendant la lecture
#24(jury) Player label titre film sous le player,Afficher le titre du film en cours de lecture sous la barre de controles du player
#25(jury) Info copyright sous le player,Afficher le texte Copyright OK et la source (YouTube API) sous la barre de progression
#26(jury) Bouton vote Valider,Creer le bouton Valider avec icone check et fond vert dans la barre de vote en bas de page
#27(jury) Bouton vote A revoir,Creer le bouton A revoir avec icone fleche et fond jaune/orange dans la barre de vote
#28(jury) Bouton vote Refuser,Creer le bouton Refuser avec icone croix et fond rouge dans la barre de vote
#29(jury) Bouton vote A discuter,Creer le bouton A discuter avec icone bulle et fond violet dans la barre de vote
#30(jury) Champ commentaire personnel jure,Creer le champ MON COMMENTAIRE avec le texte saisi par le jure visible sous les boutons de vote
#31(jury) Label visible par tout le jury,Afficher le label VISIBLE PAR TOUT LE JURY en gris sous le champ commentaire
#32(jury) Barre progression personnelle en bas,Afficher la progression personnelle du jure en bas de page : 3 sur 10 films evalues
#33(jury) Chat jury widget toggle,Creer le widget Chat jury en bas gauche avec icone bulle + badge nombre de messages non lus
#34(jury) Chat jury liste avatars membres,Afficher les avatars miniatures de tous les membres du jury dans l'en-tete du chat avec leurs initiales
#35(jury) Chat jury bulles messages,Afficher les messages sous forme de bulles avec avatar + nom + heure a gauche et messages propres a droite
#36(jury) Chat jury champ de saisie et envoi,Creer le champ de saisie texte et le bouton d'envoi en bas du widget chat
#37(jury) Detail film section Avis des autres jures,Creer la section Avis des autres jures avec le label VISIBLE PAR TOUT LE COMITE
#38(jury) Avis jure avec avatar badge vote et commentaire,Afficher pour chaque jure son avatar + nom + badge de vote (J'aime / A discuter / Pas encore evalue) + commentaire
#39(jury) Badge vote J'aime style,Creer le badge J'aime avec icone coeur et couleur rose/rouge sur les avis des jures
#40(jury) Badge vote A discuter style,Creer le badge A discuter avec icone bulle et couleur violet sur les avis des jures
